,0,1,2,3,4
0,3,6,12,4,16
1,3,13,12,10,17
2,9,17,5,13,19
3,12,6,15,10,13
4,18,2,11,21,9
5,8,17,20,4,18
6,7,4,6,11,18
7,2,18,8,6,15
8,7,4,16,2,12
9,8,12,9,7,1
10,5,7,20,18,1
11,6,7,1,4,16
12,14,11,3,5,13
13,15,6,4,5,12
14,16,13,21,8,14
15,3,13,14,18,5
16,20,16,6,15,14
17,11,1,18,15,5
18,2,13,15,7,5
19,4,20,14,12,15
20,14,7,13,2,12
21,18,12,21,15,3
22,17,13,16,8,21
23,11,2,9,3,6
24,5,14,11,13,2
25,14,5,11,10,20
26,10,16,5,13,1
27,2,12,7,9,4
28,19,20,5,7,18
29,11,13,7,10,17
30,17,20,10,7,15
31,21,9,13,14,11
32,19,12,6,20,16
33,15,18,3,10,7
34,5,13,15,14,3
35,1,6,12,3,18
36,16,9,7,4,3
37,20,9,4,19,13
38,11,8,1,15,4
39,11,12,14,2,1
40,3,21,20,7,5
41,2,3,4,10,11
42,1,9,21,18,4
43,15,18,4,2,19
44,12,17,21,8,13
45,19,3,17,1,4
46,5,4,15,14,21
47,15,19,11,17,18
48,3,8,14,6,15
49,9,5,7,1,8
50,19,5,18,2,14
51,6,5,15,14,11
52,1,4,12,13,9
53,21,15,9,8,6
54,15,19,14,17,4
55,21,1,8,10,2
56,13,4,3,14,1
57,3,18,5,8,6
58,10,4,6,16,9
59,2,5,16,14,11
60,12,7,14,15,2
61,14,8,19,2,13
62,19,1,8,17,15
63,15,8,14,10,5
64,18,21,15,6,16
65,20,2,7,14,11
66,20,18,9,17,15
67,7,19,5,14,6
68,19,16,14,12,5
69,21,9,3,13,2
70,10,11,21,12,19
71,13,20,4,11,12
72,17,3,5,7,4
73,12,17,6,8,3
74,1,21,14,13,12
75,3,1,7,13,11
76,2,15,1,19,14
77,4,3,14,6,8
78,11,17,15,9,3
79,21,10,9,12,5
80,21,17,3,19,4
81,20,2,8,15,13
82,11,15,20,14,17
83,4,13,11,10,5
84,16,4,6,13,14
85,5,1,6,14,7
86,3,16,6,8,21
87,2,14,19,1,5
88,1,8,13,21,9
89,11,9,5,1,2
90,13,14,19,10,7
91,10,19,21,2,4
92,16,11,13,6,3
93,13,20,9,19,1
94,6,14,4,11,3
95,16,18,2,10,19
96,9,1,4,12,6
97,18,15,12,11,9
98,7,13,2,4,10
99,13,11,10,2,6
100,5,21,9,2,10
